,ID,Count
0,18288,481.6085471893592
1,18289,384.3488171236095
2,18290,325.2774815979314
3,18291,268.7651622012272
4,18292,226.22044923424
5,18293,202.5046174837828
6,18294,217.74745268680147
7,18295,252.52953144315538
8,18296,290.80351180693884
9,18297,375.7816761700884
10,18298,533.3794119524464
11,18299,591.3210146051329
12,18300,597.5858969008149
13,18301,528.5181371656332
14,18302,565.1146353846714
15,18303,557.9767776871322
16,18304,543.7352966215384
17,18305,556.4019985308404
18,18306,570.0957303246804
19,18307,604.9291605752614
20,18308,581.3160318132577
21,18309,542.5970051661748
22,18310,544.5654791115394
23,18311,531.6933712253301
24,18312,366.3133782614411
25,18313,292.33724038535684
26,18314,247.40734742330704
27,18315,204.42385231632147
28,18316,172.0641742644018
29,18317,154.02581822298757
30,18318,165.61957935967433
31,18319,192.07496692817182
32,18320,221.18630876043602
33,18321,285.821038870577
34,18322,405.69050409850854
35,18323,449.7611177399282
36,18324,454.5262121543328
37,18325,401.992999143069
38,18326,429.8284413780338
39,18327,424.3993583976875
40,18328,413.56723120428694
41,18329,423.2015751022633
42,18330,433.61708201899455
43,18331,460.1115277384299
44,18332,442.15128799889084
45,18333,412.70144219183305
46,18334,414.1986713111133
47,18335,404.40809480938617
48,18336,360.7325414692674
49,18337,287.8834406508009
50,18338,243.63806104423128
51,18339,201.30942564258265
52,18340,169.44275192130516
53,18341,151.67921281817488
54,18342,163.09634134313893
55,18343,189.1486772922983
56,18344,217.8165036615507
57,18345,281.46651439954405
58,18346,399.50975115343726
59,18347,442.90894268291817
60,18348,447.60144020132
61,18349,395.86857821566116
62,18350,423.2799435007514
63,18351,417.9335733773264
64,18352,407.2664751934186
65,18353,416.7540384819903
66,18354,427.0108636588247
67,18355,453.1016627023974
68,18356,435.415049788093
69,18357,406.41387660059365
70,18358,407.8882952197637
71,18359,398.2468795535397
72,18360,509.89871100118035
73,18361,406.9258479108796
74,18362,344.3846035383649
75,18363,284.55269444075344
76,18364,239.50886283023902
77,18365,214.3999395969386
78,18366,230.53815406049276
79,18367,267.36336662640093
80,18368,307.8855985640838
81,18369,397.8554645992474
82,18370,564.7106477165298
83,18371,626.0557975864119
84,18372,632.6886852828306
85,18373,559.5638168264129
86,18374,598.310029654126
87,18375,590.7528871147638
